"","year","meansize"
"1",1963,546.963974027143
"2",1964,529.232769349779
"3",1965,513.225730650322
"4",1966,562.845885086798
"5",1967,556.3730759726
"6",1968,550.731973611795
"7",1969,532.889274007329
"8",1970,520.367915621442
"9",1971,557.747682659346
"10",1972,556.982808291116
"11",1973,583.890668245835
"12",1974,536.943952230769
"13",1975,543.320302789408
"14",1976,538.978826579604
"15",1977,576.759433632792
"16",1978,551.219905192897
"17",1979,545.250149586671
"18",1980,529.624093526047
"19",1981,555.829943844296
"20",1982,564.407116374455
"21",1983,533.750988200925
"22",1984,537.10507791416
"23",1985,546.358487653523
"24",1986,556.376109517533
"25",1987,548.39407735173
"26",1988,557.845378354962
"27",1989,533.995304923209
"28",1990,533.14945743988
"29",1991,537.796380332336
"30",1992,535.032507423439
"31",1993,548.979136888994
"32",1994,531.532454586937
"33",1995,530.34344664858
"34",1996,560.682460015824
"35",1997,544.866319283713
"36",1998,541.107172791071
"37",1999,531.009591605348
"38",2000,549.164314827535
"39",2001,567.809236592577
"40",2002,532.363138068864
"41",2003,560.777998358991
"42",2004,534.316017313517
"43",2005,551.920161325278
"44",2006,541.477201953767
"45",2007,532.451147849766
"46",2008,526.357175777458
"47",2009,541.081058019046
"48",2010,525.623390070189
"49",2011,538.429236328888
"50",2012,524.820777364487
"51",2013,545.234636718667
"52",2014,516.491438165602
"53",2015,517.232459058175
"54",2016,521.247140596517
"55",2017,527.476292495253
"56",2018,512.237511084216
"57",2019,511.786192927479
"58",2020,520.244706755586
