"","year","SaA_anomaly"
"1",1960,-13.9069252647252
"2",1961,3.7853063046552
"3",1962,13.1069745336173
"4",1963,9.70458445550454
"5",1964,6.720588791894
"6",1965,-2.29959156840221
"7",1966,6.91422479374339
"8",1967,10.4912007711244
"9",1968,8.62665465787495
"10",1969,4.34665446081708
"11",1970,-0.99211244242299
"12",1971,10.1241921415363
"13",1972,19.2299495716372
"14",1973,11.4784387835101
"15",1974,15.8452770509682
"16",1975,4.57484275856716
"17",1976,12.916857420328
"18",1977,15.5521377168147
"19",1978,12.2066416978068
"20",1979,9.26607996198804
"21",1980,5.9535354793825
"22",1981,13.1404214056946
"23",1982,13.2823810138651
"24",1983,14.2240780295102
"25",1984,4.88219843542972
"26",1985,-6.43638124416689
"27",1986,-7.87800847473585
"28",1987,-4.13912369956479
"29",1988,4.78017137872458
"30",1989,-4.32077505303408
"31",1990,0.325898264761449
"32",1991,9.17442175309855
"33",1992,2.20014253825333
"34",1993,-2.58210590484171
"35",1994,0.524727632473203
"36",1995,5.08731661660512
"37",1996,12.144448025208
"38",1997,7.74373722300166
"39",1998,7.3575251588954
"40",1999,6.21041825886887
"41",2000,3.30439884231883
"42",2001,-7.24384273735025
"43",2002,-4.73243516725961
"44",2003,-7.05855292868552
"45",2004,-3.5933408671492
"46",2005,-4.51096216911852
"47",2006,-6.1448286046212
"48",2007,-6.86242845031285
"49",2008,-3.09465177914699
"50",2009,-6.89519671510338
"51",2010,-13.4201771617763
"52",2011,-12.5815207763349
"53",2012,-5.05035795795083
"54",2013,-6.39673374874516
"55",2014,-21.1716669869769
